time1,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time2,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,time3,engagement,excitement,longTermExcitement,stress,relaxation,interest,focus,isENG,isEXC,isSTR,isREL,isINT,isFOC,time11,Pleasure,Arousal,Dominance,time0,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,1722274893.4208,neutral,frown,0.551865,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.4524,neutral,frown,0.551865,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.4842,neutral,frown,0.286258,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.5157,neutral,frown,0.286258,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.547,neutral,frown,0.286258,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.5784,neutral,frown,0.286258,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.6101,neutral,frown,0.31396,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.6419,neutral,frown,0.31396,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.6734,neutral,frown,0.31396,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.7048,neutral,frown,0.31396,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.7361,neutral,frown,0.289889,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722274893.7361,3,59,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.7677,neutral,frown,0.289889,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.7995,neutral,frown,0.289889,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.8308,neutral,frown,0.289889,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.8622,neutral,frown,0.443562,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.8935,neutral,frown,0.443562,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.9253,neutral,frown,0.443562,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.957,neutral,frown,0.443562,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274893.9886,neutral,frown,0.649183,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.02,blink,frown,0.649183,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.0514,blink,frown,0.649183,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.0831,blink,frown,0.649183,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.1146,blink,frown,0.664563,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.1459,blink,frown,0.664563,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.1773,neutral,frown,0.664563,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.2086,neutral,frown,0.664563,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.2399,neutral,frown,0.314606,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722274894.2478,3,59,0.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.2712,neutral,frown,0.314606,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.3025,neutral,frown,0.314606,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.3339,neutral,frown,0.314606,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.3652,neutral,frown,0.262845,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.3965,neutral,frown,0.262845,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.4277,neutral,frown,0.262845,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.459,neutral,frown,0.262845,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.4904,neutral,frown,0.16192,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.5217,neutral,frown,0.16192,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.553,neutral,frown,0.16192,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.5843,neutral,frown,0.16192,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.6156,neutral,frown,0.225653,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.647,neutral,frown,0.225653,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.6783,neutral,frown,0.225653,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.7096,neutral,frown,0.225653,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.7408,neutral,frown,0.244479,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722274894.7487,3,59,0.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.7721,neutral,frown,0.244479,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.8035,neutral,frown,0.244479,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.8348,neutral,frown,0.244479,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.8661,neutral,frown,0.24495,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.8974,neutral,frown,0.24495,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
